,result
0,0.21058297561047262
1,0.21726279421010486
2,0.22088872163702092
3,0.22363238912182276
4,0.225373419023432
5,0.22683312260632382
6,0.22753639513936666
7,0.22791103598956916
8,0.22871430491350903
9,0.22924316434116304
10,0.22955751971807503
11,0.23015893709090512
12,0.2300353375384418
13,0.23006789615673648
14,0.23020653914730432
15,0.23038962597649001
16,0.23023103398720873
17,0.23007874587837454
18,0.2300683572915129
19,0.23019840636190012
