,result
0,0.1327530021939361
1,0.1482241791715557
2,0.15763562232166548
3,0.16489094103130048
4,0.1702831256345118
5,0.17407883406875146
6,0.17727328013236904
7,0.17991036442791186
8,0.18149390176050478
9,0.18321076440441025
10,0.1856160928931866
11,0.1871456025406839
12,0.18871689926346288
13,0.18994692344312522
14,0.19088787999858248
15,0.19172694250582484
16,0.1920928199986988
17,0.19312923387614692
18,0.19403043267926054
19,0.1945172555533612
