,result
0,0.5144804536734661
1,0.5086628414761314
2,0.5066604813926657
3,0.5035325598791016
4,0.5034043537789387
5,0.5023415392934247
6,0.49829592926116517
7,0.4953056283236036
8,0.4890357303216086
9,0.48938767566642627
10,0.4831382150433643
11,0.4813567240589222
12,0.47896651874630214
13,0.4765160006779256
14,0.47031354951159293
15,0.467578711728422
16,0.465804685840281
17,0.46134077366938353
18,0.45677842383823075
19,0.45359010573673686
